Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
66,GTD,Till Bechtolsheimer,9,01:50.3,16:50.5,Green,Track,25.869,51.539,32.923
21,GTD,Luis Perez Companc,9,01:49.9,17:03.4,Green,Track,26.734,50.744,32.372
42,GTD,Don Yount,9,01:50.8,17:04.3,Green,Track,26.155,51.502,33.176
64,GTD,Ted Giovanis,9,01:54.0,17:37.1,Green,Track,27.656,52.46,33.915
59,GTD,Jon Miller,10,01:47.0,18:09.4,Green,Track,25.556,49.776,31.717
70,GTD,Frederik Schandorff,10,01:46.8,18:13.2,Green,Track,25.698,49.908,31.207
57,GTD,Russell Ward,10,01:46.9,18:14.3,Green,Track,25.28,49.815,31.755
28,GTD,Daniel Morad,10,01:47.0,18:14.8,Green,Track,25.405,49.89,31.715
12,GTD,Frankie Montecalvo,10,01:47.0,18:15.1,Green,Track,25.698,49.811,31.494
98,GTD,David Pittard,10,01:46.8,18:20.2,Green,Track,25.333,49.754,31.672
32,GTD,Mike Skeen,10,01:47.2,18:21.1,Green,Track,25.494,50.091,31.644
47,GTD,Giorgio Sernagiotto,10,01:47.6,18:22.1,Green,Track,25.967,49.966,31.691
39,GTD,Corey Lewis,10,01:48.6,18:23.2,Green,Track,25.996,50.128,32.465
75,GTD,Kenny Habul,10,01:48.2,18:23.3,Green,Track,25.918,50.158,32.122
44,GTD,John Potter,10,01:48.4,18:26.8,Green,Track,25.911,50.306,32.161
71,GTD,Misha Goikhberg,10,01:47.9,18:31.8,Green,Track,25.533,49.895,32.459
16,GTD,Ryan Hardwick,10,01:50.2,18:35.1,Green,Track,26.324,51.346,32.49
19,GTD,Bill Sweedler,10,01:50.0,18:35.8,Green,Track,26.66,51.043,32.291
34,GTD,James Sofronas,10,01:49.0,18:36.7,Green,Track,26.129,50.421,32.495
99,GTD,Nick Boulle,10,01:48.9,18:36.9,Green,Track,26.141,50.338,32.419
27,GTD,Ian James,10,01:48.6,18:37.7,Green,Track,25.947,50.512,32.161
96,GTD,Robby Foley,10,01:48.1,18:37.9,Green,Track,25.836,50.302,31.996
66,GTD,Till Bechtolsheimer,10,01:48.7,18:39.2,Green,Track,25.931,50.276,32.485
21,GTD,Luis Perez Companc,10,01:49.0,18:52.5,Green,Track,26.223,50.582,32.228
